OBJECTID,Dzongkhag,Area_Ha,POP_2005,AreaSqKM,Safe_Wet_,Unsafe_Wet_,Safe_Dry_,Unsafe_Dry_,TotalUnsafe,TotalSafe,Diff,Shape__Area,Shape__Length
1,Bumthang,271733.1983,2999,0,35,4,39,0,4,74,70,3479132608.0321,318848.3747
2,Chhukha,187976.9265,234324,0,40,8,16,11,19,56,37,2376526738.3490,297483.6485
3,Dagana,172282.9928,34324,0,16,15,15,12,27,31,4,2178652332.8503,268447.7334
4,Gasa,313445.3168,3423,0,12,7,11,8,15,23,8,4035633465.3358,402264.4020
5,Haa,190487.3309,3432,0,16,13,7,1,14,23,9,2421884496.0457,253969.5889
6,Lhuentse,285870.0908,3432,0,48,3,54,5,8,102,94,3664114637.7402,345314.3991
7,Mongar,194426.3399,3423,0,84,16,68,26,42,152,110,2469382330.1714,279201.5302
8,Paro,128712.7368,34,0,29,7,14,8,15,43,28,1641950682.6412,259531.8804
9,Pemagatshel,102210.4866,34,0,65,24,24,18,42,89,47,1290987820.8395,220574.6310
10,Punakha,110956.8569,34,0,22,0,0,0,0,22,22,1419879948.0984,188142.6041
11,Samdrupjongkhar,187706.5162,3342,0,48,8,39,7,15,87,72,2370705713.0582,262082.0250
12,Samtse,130484.6258,576768,0,25,12,6,9,21,31,10,1650477125.2042,283023.4262
13,Sarpang,165537.5955,6785,0,24,19,13,0,19,37,18,2091987859.3556,321956.8915
14,Thimphu,179586.8124,674,0,75,13,82,24,37,157,120,2295380095.8698,362785.2973
15,Trashigang,220396.1507,67547,0,75,27,62,25,52,137,85,2798576936.5439,318595.1787
16,Trongsa,181370.8805,566,0,32,11,3,0,11,35,24,2310622596.2105,282398.5839
17,Tsirang,63783.4209,675,0,43,19,18,28,47,61,14,806953629.5515,169439.6322
18,Wangduephodrang,403564.6549,567,0,42,4,31,5,9,73,64,5153141635.7325,474489.4051
19,Trashiyangtse,144905.2007,8867,0,14,7,3,6,13,17,4,1853462971.0723,260946.5603
20,Zhemgang,241658.0636,885,0,55,14,39,34,48,94,46,3058549661.7603,326482.4756
